prov_name,province,psgc,pt_urb_2012,pt_urb_2015_old,pt_rur_2012,pt_rur_2015_old,pt_urb_2015_new,pt_urb_2018,pt_rur_2015_new,pt_rur_2018
Camiguin,1800,101800,22161.4921953315,22493.6273807819,21301.2315623657,21549.9928397537,24555.9849868243,26736.4790614416,23654.3822822741,25718.1053285293
Capiz,1900,061900,20868.3529593203,21796.7757882147,20055.0245199370,20982.7812313103,21592.6216525848,23650.9220965201,20699.5964485178,22623.4394959187
Catanduanes,2000,052000,19293.4565710022,22826.8652441644,18303.3566282457,21659.7450952313,22788.0567091508,25699.5560647286,21667.7645711012,24365.7453816411
Cavite,2100,042100,20529.1760798833,25146.1048780581,19691.0006093427,24077.7501047000,27650.0406604720,29541.5533051667,26826.1500761965,28686.7565677101
Cebu,2200,072200,19521.5809823858,22372.4004632343,18570.3279392811,21333.3113241644,23642.6827461156,26575.5873867888,22651.9667198167,25401.1439874896
Davao del Norte,2300,112300,21165.3684444208,24968.3784691214,20400.4775193699,24035.0437841844,24335.2245031083,27454.0909653321,23474.3931594329,26537.6318353945
Davao del Sur,2400,112400,19822.0667857402,22582.6112388211,18967.5505062695,21590.4006475154,23964.9915018363,26310.8424150432,22772.3914365745,25062.9265084691
Davao Oriental,2500,112500,19948.4601584128,22973.1596753173,19043.7634586396,21913.8276623801,23671.6480095929,27117.1644123139,22561.0704081111,25932.8638303537
Eastern Samar,2600,082600,21125.6969354536,24020.3453628011,20236.8331448145,22886.0894722383,26294.2325342283,29915.7802327650,25358.2135158413,29069.7388203351
Ifugao,2700,142700,21028.8792534944,23536.5951349199,20253.0326731319,22672.5234479622,26040.5985965917,27391.1212945725,25132.9228125448,26416.7263353859
Ilocos Norte,2800,012800,19723.5136579325,21481.6124874696,18952.9223553888,20614.6355434627,24627.8551901349,27976.1996565150,23505.2098836603,26669.4834067192
Ilocos Sur,2900,012900,21611.7799245856,23374.8174243951,20885.2502717571,22534.8107113619,24701.9494570089,25613.2562343030,23555.4696015810,24377.8080461922
Iloilo,3000,063000,19798.2363036923,23216.5765521359,18792.4799928512,22056.9237143921,23890.3050264929,27357.2962909924,22730.7747386510,26011.5279965631
